Car [image=i, vinNumber=v, make=make, model=model, year=year, isUsed=false, mileage=mile, price=300.0, color=color, battery=batt, motor=mo, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=C:\Users\Genevieve\Desktop\CarImages, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=https://images-na.ssl-images-amazon.com/images/I/61p%2B8FXutpL._AC_SL1000_.jpg, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=https://images-na.ssl-images-amazon.com/images/I/61p%2B8FXutpL._AC_SL1000_.jpg, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=https://images-na.ssl-images-amazon.com/images/I/61p%2B8FXutpL._AC_SL1000_.jpg, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=https://images-na.ssl-images-amazon.com/images/I/61p%2B8FXutpL._AC_SL1000_.jpg, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
Car [image=https://images-na.ssl-images-amazon.com/images/I/61p%2B8FXutpL._AC_SL1000_.jpg, vinNumber=1G8DC18H4CF114023, make=Porsche, model=911 GT3, year=2015, isUsed=false, mileage=57 miles, price=300.0, color=black, battery=12V, motor=n/a, daysPosted=0, description=null, isSold=false]
